Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
"2,4-di-tert-butylphenol",Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,7311,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,C14H22O,Antidiabetic / Enzyme inhibition / Anti-inflammatory,α-Amylase,10.3390/cimb48050503,2026,AFRO11_089,Phenol derivative,GC-MS,Identified in DCM leaf extract,206.33,3.99,1.0,1.0,20.23,0.0,15.0,1.0,0.571,0.68,0.0,True,True,False,-2.120483211709802,-0.3141741935983214
Tetratriacontane,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,26519,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C34H70,Antidiabetic / Enzyme inhibition,"α-Amylase, α-Glucosidase",10.3390/cimb48050503,2026,AFRO11_090,Saturated alkane / Hydrocarbon,GC-MS,Identified in Hexane leaf extract,478.93,13.51,0.0,0.0,0.0,31.0,34.0,0.0,1.0,0.087,1.0,True,False,False,-1.949833716630447,7.753996054357521
Propylene glycol,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,1030,CC(CO)O,C3H8O2,Antidiabetic / Enzyme inhibition,α-Glucosidase,10.3390/cimb48050503,2026,AFRO11_091,Diol / Alcohol,GC-MS,Identified in Ethyl acetate leaf extract,76.09,-0.64,2.0,2.0,40.46,1.0,5.0,0.0,1.0,0.436,0.0,True,True,False,-1.494596195908484,-1.477812818193459
Oleic acid,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,445639,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,Antidiabetic / Glucose uptake enhancement,IRS1 / PI3K signaling pathway,10.3390/cimb48050503,2026,AFRO11_092,Monounsaturated fatty acid,GC-MS,Identified in Ethyl acetate leaf extract,282.47,6.11,1.0,1.0,37.3,15.0,20.0,0.0,0.833,0.291,1.0,True,False,False,-1.60212123172947,2.8905662932179874
Phytol,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,5280435,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,Antidiabetic / Insulin sensitivity,PPAR-γ,10.3390/cimb48050503,2026,AFRO11_093,Diterpene alcohol,GC-MS,Identified in Ethyl acetate leaf extract,296.54,6.36,1.0,1.0,20.23,13.0,21.0,0.0,0.9,0.392,1.0,True,False,False,-1.7613749627408244,2.640019696468327
Octadecanoic acid,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,5281,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,Antidiabetic / Insulin signaling enhancement,PTP1B,10.3390/cimb48050503,2026,AFRO11_094,Saturated fatty acid,GC-MS,Identified in Ethyl acetate leaf extract,284.48,6.33,1.0,1.0,37.3,16.0,20.0,0.0,0.944,0.336,1.0,True,False,False,-1.591328082111742,3.1167878328512133
n-Hexadecenoic acid,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,985,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,Antidiabetic / Enzyme inhibition,"α-Amylase, α-Glucosidase",10.3390/cimb48050503,2026,AFRO11_095,Saturated fatty acid,GC-MS,Identified in DCM and Ethyl acetate leaf extracts,256.43,5.55,1.0,1.0,37.3,14.0,18.0,0.0,0.938,0.413,1.0,True,False,False,-1.6326857340881686,2.541073236589629
Kaempferol,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,"Anti-free radical activity, antidiabetic",Receptor / Antioxidant target,10.3390/molecules28207202,2023,AFRO11_096,Flavonoid,Isolation (Extraction),Isolated from stem bark.,286.24,2.28,4.0,6.0,111.13,1.0,21.0,3.0,0.0,0.546,0.0,True,True,True,-0.20242632701026886,-0.5259591078876286
Methyl gallate,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,7428,COC(=O)C1=CC(=C(C(=C1)O)O)O,C8H8O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_097,Phenolic acid,Isolation (Extraction),Isolated from stem bark.,184.15,0.59,3.0,5.0,86.99,1.0,13.0,1.0,0.125,0.439,0.0,True,True,False,-0.6500553120084199,-1.0638550290473883
Catechin,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,9064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,Antidiabetic,Cellular metabolic pathways,10.3390/molecules28207202,2023,AFRO11_098,Flavanol,Isolation (Extraction),Isolated from stem bark.,290.27,1.55,5.0,6.0,110.38,1.0,21.0,2.0,0.2,0.51,0.0,True,True,True,0.04268653051138944,-0.6995940312735793
Gallocatechin 5-O-gallate,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,76385903,C1C(C(OC2=C1C(=CC(=C2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)C4=CC(=C(C(=C4)O)O)O)O,C22H18O11,Antidiabetic,Cellular metabolic pathways,10.3390/molecules28207202,2023,AFRO11_099,Flavanol gallate,Isolation (Extraction),Isolated from stem bark.,458.38,1.88,8.0,11.0,197.37,3.0,33.0,3.0,0.136,0.162,2.0,False,False,True,1.9479270103582464,-0.10486306219848987
Catechin 5-O-gallate,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,15689618,C1C(C(OC2=C1C(=CC(=C2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)C4=CC(=C(C=C4)O)O)O,C22H18O10,Antidiabetic,Cellular metabolic pathways,10.3390/molecules28207202,2023,AFRO11_100,Flavanol gallate,Isolation (Extraction),Isolated from stem bark.,442.38,2.18,7.0,10.0,177.14,3.0,32.0,3.0,0.136,0.181,1.0,True,False,True,1.5024659163060938,-0.02934091636794366
Gallic acid,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,Antidiabetic,Metabolic pathways,10.3390/molecules28207202,2023,AFRO11_101,Phenolic acid,Isolation (Extraction),Isolated from stem bark.,170.12,0.5,4.0,4.0,97.99,1.0,12.0,1.0,0.0,0.46,0.0,True,True,False,-0.5542349415197182,-1.1269827397927688
1-O-galloyl-β-D-glucose,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,None,,,Antidiabetic,Metabolic pathways,10.3390/molecules28207202,2023,AFRO11_102,Hydrolyzable tannin component,Isolation (Extraction),Isolated from stem bark.,,,,,,,,,,,,,,,,
Digallic acid,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,341,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,C14H10O9,Antidiabetic,Metabolic pathways,10.3390/molecules28207202,2023,AFRO11_103,Phenolic acid derivative,Isolation (Extraction),Isolated from stem bark.,322.23,1.13,6.0,8.0,164.75,3.0,23.0,2.0,0.0,0.276,1.0,True,False,True,0.9055444442749863,-0.45672962488713337
"1,6-di-O-galloyl-β-D-glucose",Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,None,,,Antidiabetic,Metabolic pathways,10.3390/molecules28207202,2023,AFRO11_104,Tannin derivative,Isolation (Extraction),Isolated from stem bark.,,,,,,,,,,,,,,,,
Ellagic acid,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_105,Polyphenol,Isolation (Extraction),Isolated from stem bark.,302.19,1.31,4.0,8.0,141.34,0.0,22.0,4.0,0.0,0.216,0.0,True,False,True,0.2944549578116445,-0.9234875234714763
(-)-Epigallocatechin-7-gallate,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_106,Catechin gallate,Isolation (Extraction),Isolated from stem bark.,,,,,,,,,,,,,,,,
"(-)-epigallocatechin-5,7-digallate",Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,74977180,C1C(C(OC2=C1C(=CC(=C2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)C5=CC(=C(C(=C5)O)O)O)O,C29H22O15,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_107,Catechin gallate,Isolation (Extraction),Isolated from stem bark.,610.48,2.51,10.0,15.0,264.13,5.0,44.0,4.0,0.103,0.088,3.0,False,False,False,3.407681344220199,0.5653707064362936
Catechin-7-O-gallate,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,471393,C1C(C(OC2=CC(=CC(=C21)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)C4=CC(=C(C=C4)O)O)O,C22H18O10,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_108,Flavanol gallate,Isolation (Extraction),Isolated from stem bark.,442.38,2.18,7.0,10.0,177.14,3.0,32.0,3.0,0.136,0.181,1.0,True,False,True,1.5024659163060938,-0.02934091636794366
Quercetin,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_109,Flavonoid,Isolation (Extraction),Isolated from stem bark.,302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Quercetin-3-O-β-glucopyranoside,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_110,Flavonoid glycoside,Isolation (Extraction),Isolated from stem bark.,,,,,,,,,,,,,,,,
Naringenin,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,439246,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_111,Flavanone,Isolation (Extraction),Isolated from stem bark.,272.26,2.51,3.0,5.0,86.99,1.0,20.0,2.0,0.133,0.742,0.0,True,True,True,-0.6576245207388857,-0.4598001482638867
Naringenin-7-O-β-gluco-pyranoside,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_112,Flavanone glycoside,Isolation (Extraction),Isolated from stem bark.,,,,,,,,,,,,,,,,
Chalconaringenin-4'-O-β-glucopyranoside,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,11743626,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2O)OC3C(C(C(C(O3)CO)O)O)O)O)O,C21H22O10,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_113,Chalcone glycoside,Isolation (Extraction),Isolated from stem bark.,434.4,-0.12,7.0,10.0,177.14,6.0,31.0,2.0,0.286,0.239,1.0,True,False,True,1.8517128641921374,-0.04623920906881659
Niloticane,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,N/A,N/A,N/A,Kinase inhibitory / Antidiabetic,Protein kinases,10.3390/molecules28207202,2023,AFRO11_114,Cassane diterpene,Isolation (Extraction),Bioactive diterpene.,,,,,,,,,,,,,,,,
Acanilol A,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,None,,,Kinase inhibitory,Kinase enzymes,10.3390/molecules28207202,2023,AFRO11_115,Peltogynoid,Isolation (Extraction),Kinase inhibitor.,,,,,,,,,,,,,,,,
Acanilol B,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,None,,,Kinase inhibitory,Kinase enzymes,10.3390/molecules28207202,2023,AFRO11_116,Peltogynoid,Isolation (Extraction),Kinase inhibitor.,,,,,,,,,,,,,,,,
Lupenone,Acacia nilotica,Babul / Gum arabic tree,Mimosoideae,Stem bark,Kenya,92158,CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C,C30H48O,Anti-inflammatory,COX-1 / COX-2,10.3390/molecules28207202,2023,AFRO11_117,Triterpenoid,Isolation (Extraction),Triterpene compound.,424.71,8.23,0.0,1.0,17.07,1.0,31.0,0.0,0.9,0.387,1.0,True,True,False,-2.2169840412180735,1.2575940006176844
Rutin,Acalypha wilkesiana,Copperleaf,Euphorbiaceae,"Leaves, stems, root bark",Kenya,5280805,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,Potentiates IRK / Glucose uptake,IRK / GLUT4,10.3390/molecules28207202,2023,AFRO11_118,Flavonoid glycoside,Isolation (Extraction),Bioactive flavonoid.,610.52,-1.69,10.0,16.0,269.43,6.0,43.0,3.0,0.444,0.14,3.0,False,False,False,4.0678792616282315,-0.2223684219448037
Gallic acid,Acalypha wilkesiana,Copperleaf,Euphorbiaceae,"Leaves, stems, root bark",Kenya,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,Antidiabetic,Metabolic enzymes,10.3390/molecules28207202,2023,AFRO11_119,Phenolic acid,Isolation (Extraction),Bioactive phenol.,170.12,0.5,4.0,4.0,97.99,1.0,12.0,1.0,0.0,0.46,0.0,True,True,False,-0.5542349415197182,-1.1269827397927688
Corilagin,Acalypha wilkesiana,Copperleaf,Euphorbiaceae,"Leaves, stems, root bark",Kenya,73568,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,C27H22O18,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_120,Ellagitannin,Isolation (Extraction),Bioactive tannin.,634.46,-0.3,11.0,18.0,310.66,2.0,45.0,3.0,0.222,0.098,3.0,False,False,False,4.426218717127725,-0.6136414352719823
Geraniin,Acalypha wilkesiana,Copperleaf,Euphorbiaceae,"Leaves, stems, root bark",Kenya,3001497,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O)O)(O6)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)O,C41H28O27,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_121,Ellagitannin,Isolation (Extraction),Bioactive tannin.,952.65,-1.1,14.0,27.0,450.25,2.0,68.0,4.0,0.22,0.049,3.0,False,False,False,7.478728505404618,-0.39733619682878213
Kaempferol 3-O-rutinoside,Acalypha wilkesiana,Copperleaf,Euphorbiaceae,"Leaves, stems, root bark",Kenya,5318767,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,C27H30O15,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_122,Flavonoid glycoside,Isolation (Extraction),Bioactive flavonoid.,594.52,-1.39,9.0,15.0,249.2,6.0,42.0,3.0,0.444,0.159,3.0,False,False,False,3.6224181675760785,-0.14684627611425763
S-Methylcysteine sulfoxide,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,182092,CS(=O)CC(C(=O)O)N,C4H9NO3S,"Antidiabetic, blood sugar reduction",Pancreatic β-cells,10.3390/molecules28207202,2023,AFRO11_123,Organosulfur,Isolation (Extraction),Ameliorates diabetes in alloxan-induced rats.,151.19,-1.22,2.0,3.0,80.39,3.0,9.0,0.0,0.75,0.529,0.0,True,True,False,-0.8401068025198729,-1.152651385936349
Alliuocide G,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,163184125,C1=CC(=C(C=C1C23C(C(=O)C4=C(C=C(C=C4O2)O)O)(OC5=C(O3)C=CC(=C5)O)O)O)O,C21H14O10,Inhibition of α-amylase (96.5%),α-Amylase,10.3390/molecules28207202,2023,AFRO11_124,Flavonoid,Isolation (Extraction),Exhibited highest α-amylase inhibition.,426.33,1.8,6.0,10.0,166.14,1.0,31.0,3.0,0.095,0.316,1.0,True,False,True,1.2259114800357587,-0.4673086192894402
"2-(3,4-Dihydroxybenzoyl)-2,4,6-trihydroxy-3(2H)-benzofuranone",Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,54378453,C1=CC(=C(C=C1C(=O)C2(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O8,Inhibition of α-amylase,α-Amylase,10.3390/molecules28207202,2023,AFRO11_125,Benzofuranone,Isolation (Extraction),Active isolated constituent.,318.24,0.66,5.0,8.0,144.52,2.0,23.0,2.0,0.067,0.308,0.0,True,False,True,0.6472416053054785,-0.713051383570847
Luteolin-7-O-D-glucopyranoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,5280637,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,Inhibition of α-amylase,α-Amylase,10.3390/molecules28207202,2023,AFRO11_126,Flavonoid glycoside,Isolation (Extraction),Active isolated constituent.,448.38,-0.24,7.0,11.0,190.28,4.0,32.0,3.0,0.286,0.261,2.0,False,False,True,2.0123004548518564,-0.408658078110156
Quercetin,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,Activates AMPK pathway / GLUT1 translocation,AMPK / GLUT1,10.3390/molecules28207202,2023,AFRO11_127,Flavonoid,Isolation (Extraction),Promotes skeletal muscle glucose uptake.,302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Peonidin 3'-glucoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,None,,,Antidiabetic / Antioxidant,Free radicals,10.3390/molecules28207202,2023,AFRO11_128,Anthocyanin,Isolation (Extraction),Pigment constituent.,,,,,,,,,,,,,,,,
Petunidin 3'-glucoside acetate,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,None,,,Antidiabetic / Antioxidant,Free radicals,10.3390/molecules28207202,2023,AFRO11_129,Anthocyanin,Isolation (Extraction),Pigment constituent.,,,,,,,,,,,,,,,,
"Quercetin 3,4'-diglucoside",Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,5320835,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,C27H30O17,Antidiabetic / Antioxidant,Glucose metabolism targets,10.3390/molecules28207202,2023,AFRO11_130,Flavonoid glycoside,Isolation (Extraction),Major onion flavonol.,626.52,-3.07,11.0,17.0,289.66,7.0,44.0,3.0,0.444,0.124,3.0,False,False,False,4.673677402579709,-0.36913750087315084
"Cyanidin 3,4'-di-O-β-glucopyranoside",Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,N/A,N/A,N/A,Antidiabetic / Antioxidant,Free radicals,10.3390/molecules28207202,2023,AFRO11_131,Anthocyanin,Isolation (Extraction),Pigment constituent.,,,,,,,,,,,,,,,,
"Isorhamnetin 3,4'-diglucoside",Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,11802256,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,C28H32O17,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_132,Flavonoid glycoside,Isolation (Extraction),Flavonol derivative.,640.55,-2.76,10.0,17.0,278.66,8.0,45.0,3.0,0.464,0.119,3.0,False,False,False,4.4861850979898446,-0.07513788336568535
Quercetin 7-glucoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,5282160,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,C21H20O12,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_133,Flavonoid glycoside,Isolation (Extraction),Flavonol derivative.,464.38,-0.54,8.0,12.0,210.51,4.0,33.0,3.0,0.286,0.229,2.0,False,False,False,2.457761548904009,-0.48418022394070215
Cyanidin 4'-O-beta-glucoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,5316221,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,C21H21O11+,Antidiabetic,Free radicals,10.3390/molecules28207202,2023,AFRO11_134,Anthocyanin,Isolation (Extraction),Pigment constituent.,449.39,0.38,8.0,10.0,191.6,4.0,32.0,3.0,0.286,0.257,1.0,True,False,True,2.0041338671485964,-0.27606832696953737
Malvidin 3'-glucoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,None,,,Antidiabetic,Free radicals,10.3390/molecules28207202,2023,AFRO11_135,Anthocyanin,Isolation (Extraction),Pigment constituent.,,,,,,,,,,,,,,,,
Quercetin-3-monoglucoside,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_136,Flavonoid glycoside,Isolation (Extraction),Flavonol derivative.,,,,,,,,,,,,,,,,
Isoalliin,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,118989467,CC=CS(=O)CC(C(=O)O)N,C6H11NO3S,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_137,Organosulfur,Isolation (Extraction),Sulfur-containing compound.,177.22,-0.32,2.0,3.0,80.39,4.0,11.0,0.0,0.5,0.616,0.0,True,True,False,-0.8499957937554635,-0.726395247441528
Methiin,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,9578071,CS(=O)CC(C(=O)O)N,C4H9NO3S,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_138,Organosulfur,Isolation (Extraction),Sulfur-containing compound.,151.19,-1.22,2.0,3.0,80.39,3.0,9.0,0.0,0.75,0.529,0.0,True,True,False,-0.8401068025198729,-1.152651385936349
Alliin,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,9576089,C=CCS(=O)CC(C(=O)O)N,C6H11NO3S,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_139,Organosulfur,Isolation (Extraction),Sulfur-containing compound.,177.22,-0.67,2.0,3.0,80.39,5.0,11.0,0.0,0.5,0.546,0.0,True,True,False,-0.7764609892470875,-0.6327857907150923
N-(gamma-glutamyl)-S-methyl-L-cysteine,Allium cepa,Onion,Amaryllidaceae,Whole plant,Kenya,13894650,CSCC(C(=O)O)NC(=O)CCC(C(=O)O)N,C9H16N2O5S,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_140,Dipeptide / Amino acid derivative,Isolation (Extraction),Sulfur precursor.,264.3,-0.89,4.0,5.0,129.72,8.0,17.0,0.0,0.667,0.447,0.0,True,True,False,0.35546556332431395,-0.0792599162585514
"5-Hydroxy-3,6-dimethoxy-2-methylnaphthalene-1,4-dione",Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,None,,,Antidiabetic / Antimicrobial,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_141,Naphthoquinone,Isolation (Extraction),Root isolate.,,,,,,,,,,,,,,,,
Laccaic acid D,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,9883304,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=CC(=C3)O)O,C16H10O7,Antidiabetic / Antioxidant,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_142,Anthraquinone,Isolation (Extraction),Anthraquinone pigment.,314.25,1.59,4.0,6.0,132.13,1.0,23.0,2.0,0.062,0.536,0.0,True,True,True,0.0739698739979142,-0.6412192728802834
"3-Methoxy-2-methylnaphthalene-1,4-dione",Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,79441,CC1=C(C(=O)C2=CC=CC=C2C1=O)OC,C12H10O3,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_143,Naphthoquinone,Isolation (Extraction),Root isolate.,202.21,1.99,0.0,3.0,43.37,1.0,15.0,1.0,0.167,0.699,0.0,True,True,False,-1.6820290488624146,-0.6161866739408929
Aloesaponol I,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_144,Pre-anthraquinone,Isolation (Extraction),Root isolate.,,,,,,,,,,,,,,,,
Aloesaponol II,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_145,Pre-anthraquinone,Isolation (Extraction),Root isolate.,,,,,,,,,,,,,,,,
Chrysophanol,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,10208,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,C15H10O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_146,Anthraquinone,Isolation (Extraction),Active anthraquinone.,254.24,2.18,2.0,4.0,74.6,0.0,19.0,2.0,0.067,0.644,0.0,True,True,False,-1.0187914199509984,-0.7081964685991489
Ancistroquinone C,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_147,Anthraquinone,Isolation (Extraction),Root isolate.,,,,,,,,,,,,,,,,
Helminthosporin,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,97560,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C=CC(=C3C2=O)O)O,C15H10O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_148,Anthraquinone,Isolation (Extraction),Root isolate.,270.24,1.89,3.0,5.0,94.83,0.0,20.0,2.0,0.067,0.542,0.0,True,True,True,-0.5745193977124207,-0.7814603077197739
